Student Name,House,Year,Wand Type,Pet,Potions Grade,Defense Against the Dark Arts Grade,Transfiguration Grade,Spells Learned,Quidditch Position,Points Earned for House,Detentions,Participation in Dueling Club,Triwizard Tournament Involvement,Items Owned,Knuts Spent in Hogsmeade,Attendance at Classes,Magical Accidents
Ginny Finnigan,Hufflepuff,2,"11 inches, holly, phoenix feather core",Cat,Poor,Acceptable,Exceeds Expectations,16,,61,3,No,Yes,"Sneakoscope, Extendable Ears",306,72,7
Blaise Parkinson,Ravenclaw,4,"12 inches, yew, unicorn hair core",,Acceptable,Acceptable,Outstanding,28,Seeker,131,5,No,Yes,Extendable Ears,394,37,7
Hermione Boot,Ravenclaw,6,"10 inches, oak, dragon heartstring core",,Poor,Outstanding,Exceeds Expectations,29,Keeper,-57,1,No,No,"Time-Turner, Firebolt, Extendable Ears",456,26,0
Fred Bell,Gryffindor,3,"11 inches, holly, phoenix feather core",Toad,Acceptable,Acceptable,Exceeds Expectations,14,,83,0,Yes,No,"Invisibility Cloak, Firebolt, Extendable Ears",239,67,8
Katie Bell,Hufflepuff,2,"12 inches, yew, unicorn hair core",Owl,Outstanding,Acceptable,Exceeds Expectations,20,Keeper,178,2,Yes,Yes,"Extendable Ears, Invisibility Cloak",180,33,2
Cedric Weasley,,3,"9 inches, elm, veela hair core",Cat,Outstanding,Exceeds Expectations,Acceptable,8,Keeper,79,1,Yes,No,Invisibility Cloak,284,75,1
Draco Zabini,Ravenclaw,5,"11 inches, holly, phoenix feather core",Muggle Born,Exceeds Expectations,Outstanding,Poor,24,Seeker,-88,2,Yes,Yes,"Marauder's Map, Time-Turner",309,73,5
Parvati Johnson,Hufflepuff,4,"12 inches, yew, unicorn hair core",Dragon,Poor,Exceeds Expectations,Acceptable,17,Beater,183,1,Yes,No,"Time-Turner, Extendable Ears",11,54,6
Ginny Longbottbom,Ravenclaw,3,"9 inches, elm, veela hair core",Owl,Outstanding,Outstanding,Poor,29,Keeper,-95,0,No,Yes,"Invisibility Cloak, Time-Turner, Marauder's Map",183,88,9
Cho Finnigan,Slytherin,5,"9 inches, elm, veela hair core",Toad,Poor,Outstanding,Outstanding,21,Beater,18,5,Yes,No,"Invisibility Cloak, Marauder's Map",239,40,1
Luna Parkinson,Hufflepuff,1,"9 inches, elm, veela hair core",Owl,Poor,Exceeds Expectations,Poor,6,,-84,5,Yes,No,Sneakoscope,52,83,5
,Ravenclaw,1,"10 inches, oak, dragon heartstring core",Muggle Born,Poor,Acceptable,Poor,18,Keeper,-17,3,Yes,No,"Sneakoscope, Marauder's Map",145,74,6
Katie Johnson,Ravenclaw,7,"9 inches, elm, veela hair core",,Acceptable,Exceeds Expectations,Exceeds Expectations,19,Seeker,90,5,Yes,No,Sneakoscope,295,67,10
Ginny Granger,,4,"12 inches, yew, unicorn hair core",Dragon,Exceeds Expectations,Acceptable,Exceeds Expectations,25,Chaser,-34,4,Yes,Yes,"Time-Turner, Invisibility Cloak",19,86,9
Fred Parkinson,Gryffindor,6,"12 inches, yew, unicorn hair core",Muggle Born,,Poor,Exceeds Expectations,10,Chaser,159,3,Yes,Yes,Invisibility Cloak,333,36,6
Susan Bones,Slytherin,3,"12 inches, yew, unicorn hair core",Toad,Outstanding,Acceptable,Exceeds Expectations,14,Chaser,161,2,No,Yes,"Invisibility Cloak, Firebolt, Time-Turner",193,53,1
Angelina Zabini,Slytherin,3,"11 inches, holly, phoenix feather core",Muggle Born,Poor,Acceptable,Outstanding,28,,-37,1,Yes,Yes,"Invisibility Cloak, Marauder's Map",6,90,5
Draco Chang,Ravenclaw,5,"10 inches, oak, dragon heartstring core",Cat,Outstanding,Outstanding,Poor,27,,198,0,No,No,"Time-Turner, Marauder's Map, Extendable Ears",182,29,8
Ron Zabini,Slytherin,2,"9 inches, elm, veela hair core",Dragon,Poor,Acceptable,Poor,24,,-84,0,No,No,Extendable Ears,52,97,3
Lavender Bell,Hufflepuff,1,"12 inches, yew, unicorn hair core",Owl,Poor,Poor,Poor,18,Keeper,-25,4,No,No,"Time-Turner, Sneakoscope, Firebolt",91,30,6
,,1,"11 inches, holly, phoenix feather core",Cat,Exceeds Expectations,Poor,Acceptable,27,Keeper,117,2,No,No,Marauder's Map,361,43,1
George Bell,,4,"9 inches, elm, veela hair core",Cat,Acceptable,Poor,Poor,19,Chaser,-91,2,Yes,Yes,"Time-Turner, Sneakoscope",311,89,0
Hermione Diggory,Hufflepuff,4,"9 inches, elm, veela hair core",Owl,Outstanding,Exceeds Expectations,Acceptable,18,Seeker,131,4,Yes,No,Time-Turner,399,39,9
Padma Diggory,Hufflepuff,6,"11 inches, holly, phoenix feather core",Cat,Outstanding,Outstanding,Poor,5,Keeper,149,2,Yes,Yes,"Firebolt, Sneakoscope",496,60,8
Pansy Granger,Gryffindor,6,"10 inches, oak, dragon heartstring core",Owl,Poor,Outstanding,Exceeds Expectations,28,Keeper,39,1,No,No,Sneakoscope,365,68,7
Luna Patil,Hufflepuff,4,"10 inches, oak, dragon heartstring core",Cat,Exceeds Expectations,Outstanding,Exceeds Expectations,18,Beater),-68,4,No,Yes,"Extendable Ears, Invisibility Cloak",216,35,7
Lavender Brown,Slytherin,4,"12 inches, yew, unicorn hair core",Cat,Poor,Acceptable,Outstanding,5,Keeper,178,3,No,No,Sneakoscope,158,44,4
Neville Granger,Gryffindor,2,"10 inches, oak, dragon heartstring core",Owl,Outstanding,Poor,Exceeds Expectations,10,Chaser,169,3,No,Yes,"Invisibility Cloak, Time-Turner, Sneakoscope",408,37,5
Blaise Zabini,Slytherin,5,"9 inches, elm, veela hair core",Owl,Poor,Acceptable,Outstanding,25,,-23,2,No,Yes,Extendable Ears,182,53,8
Ginny Potter,,3,"11 inches, holly, phoenix feather core",Cat,Poor,Poor,Exceeds Expectations,6,,-68,2,No,No,"Time-Turner, Extendable Ears, Invisibility Cloak",141,37,9
Hermione Granger,,4,"9 inches, elm, veela hair core",Toad,Outstanding,Outstanding,Acceptable,11,,44,1,Yes,Yes,Invisibility Cloak,28,53,2
Lavender Patil,Hufflepuff,4,"11 inches, holly, phoenix feather core",Toad,Exceeds Expectations,Exceeds Expectations,Poor,8,,-76,1,Yes,No,Invisibility Cloak,77,35,4
Fred Weasley,,7,"11 inches, holly, phoenix feather core",Dragon,Exceeds Expectations,Poor,Outstanding,19,Seeker,54,2,No,Yes,"Invisibility Cloak, Sneakoscope, Firebolt",82,26,10
Seamuts Granger,Hufflepuff,6,"9 inches, elm, veela hair core",Muggle Born,Acceptable,Exceeds Expectations,Exceeds Expectations,28,Beater,142,4,Yes,Yes,Marauder's Map,365,67,10
Cedric Johnsoyn,Hufflepuff,4,"9 inches, elm, veela hair core",Cat,Outstanding,Acceptable,Outstanding,29,,18,2,No,No,"Invisibility Cloak, Extendable Ears",409,99,2
Harry Bones,,2,"10 inches, oak, dragon heartstring core",Dragon,Acceptable,Exceeds Expectations,Poor,23,Ch\aser,160,1,No,No,"Firebolt, Time-Turner, Marauder's Map",45,32,7
George Thomas,,2,"12 inches, yew, unicorn hair core",,Outstanding,Exceeds Expectations,Poor,30,Seeker,161,3,Yes,Yes,Invisibility Cloak,440,81,5
Terry Boot,,2,"12 inches, yew, unicorn hair core",Muggle Born,Poor,Outstanding,Poor,25,Cha_ser,-13,3,No,No,"Marauder's Map, Firebolt, Time-Turner",325,49,8
Blaise Spinnet,Ravenclaw,6,"10 inches, oak, dragon heartstring core",Toad,Exceeds Expectations,Poor,Acceptable,28,Keeper,142,2,No,Yes,Time-Turner,208,92,2
George Granger,Slytherin,7,"11 inches, holly, phoenix feather core",Dragon,Outstanding,Poor,Outstanding,23,Chaser,-56,3,No,No,Time-Turner,49,85,3
Hermione Bell,Slytherin,5,"9 inches, elm, veela hair core",,,Acceptable,Poor,22,Chaser,163,0,Yes,No,Extendable Ears,152,44,8
Susan Boot,Slytherin,3,"10 inches, oak, dragon heartstring core",,Acceptable,Acceptable,Poor,5,Beater,127,1,No,Yes,Extendable Ears,146,67,2
Terry Finnigan,Gryffindor,3,"12 inches, yew, unicorn hair core",Cat,Poor,Exceeds Expectations,Outstanding,30,Keeper,-83,2,Yes,Yes,"Marauder's Map, Extendable Ears",156,26,5
Luna Parkinson,,4,"11 inches, holly, phoenix feather core",Cat,Outstanding,Outstanding,Acceptable,9,Beater,165,0,Yes,No,"Sneakoscope, Invisibility Cloak, Marauder's Map",497,57,4
Fred Brown,Slytherin,5,"11 inches, holly, phoenix feather core",,Acceptable,Acceptable,Acceptable,14,,19,0,No,Yes,"Extendable Ears, Marauder's Map, Time-Turner",266,83,0
Parvati Malfoy,Ravenclaw,7,"9 inches, elm, veela hair core",Muggle Born,Outstanding,Outstanding,Poor,6,,121,2,No,No,Invisibility Cloak,201,36,5
Terry Johnson,RAVENCLAW,3,"11 inches, holly, phoenix feather core",Toad,Acceptable,Outstanding,Acceptable,24,,-55,5,Yes,Yes,"Time-Turner, Firebolt, Sneakoscope",75,72,1
Harry Potter,,5,"11 inches, holly, phoenix feather core",Cat,Outstanding,Poor,Poor,28,Chaser,16,3,Yes,No,"Time-Turner, Marauder's Map, Firebolt",126,31,6
Ginny Thomas,Slytherin,5,"12 inches, yew, unicorn hair core",Dragon,Acceptable,Acceptable,Outstanding,27,Keeper,19,3,Yes,No,"Time-Turner, Marauder's Map",443,50,5
George Boot,Hufflepuff,1,"9 inches, elm, veela hair core",Owl,,Exceeds Expectations,Acceptable,5,Chaser,118,3,No,No,Firebolt,350,50,8
Luna Diggory,Gryffindor,3,"9 inches, elm, veela hair core",Cat,Poor,Outstanding,Poor,27,Beat%er,-17,0,Yes,Yes,Time-Turner,240,29,0
Dean Weasleyx,Ravenclaw,6,"12 inches, yew, unicorn hair core",Muggle Born,Outstanding,Exceeds Expectations,Outstanding,17,,77,1,Yes,Yes,Extendable Ears,384,86,5
Draco Zabini,Slytherin,3,"10 inches, oak, dragon heartstring core",Cat,Outstanding,Poor,Outstanding,24,Beate~r,123,1,No,Yes,"Sneakoscope, Extendable Ears",72,98,3
GeoZrge Finnigan,Gryffindor,5,"11 inches, holly, phoenix feather core",Owl,Outstanding,Poor,Poor,9,S@eeker,12,4,No,Yes,"Time-Turner, Extendable Ears, Marauder's Map",179,58,4
Susan Spinnet,Slytherin,3,"9 inches, elm, veela hair core",Dragon,Poor,Outstanding,Acceptable,29,Keeper,-83,5,Yes,Yes,Invisibility Cloak,448,35,7
Padma Weasley,HUFFLEPUFF,6,"11 inches, holly, phoenix feather core",Owl,Poor,Acceptable,Exceeds Expectations,9,Chaser,133,2,No,No,"Invisibility Cloak, Time-Turner, Marauder's Map",235,50,9
Pansy Longbottom,,5,"10 inches, oak, dragon heartstring core",Cat,Acceptable,Exceeds Expectations,Poor,23,,-61,3,No,No,"Invisibility Cloak, Sneakoscope, Extendable Ears",312,80,2
PansBy Chang,,4,"10 inches, oak, dragon heartstring core",Toad,Acceptable,Outstanding,Poor,27,Keeper,139,1,No,Yes,"Sneakoscope, Time-Turner",142,70,6
Ginny Parkinson,,1,"12 inches, yew, unicorn hair core",Owl,Exceeds Expectations,Exceeds Expectations,Exceeds Expectations,25,Beater,121,4,Yes,Yes,"Extendable Ears, Sneakoscope",8,30,4
Katie Patil,Ravenclaw,5,"11 inches, holly, phoenix feather core",Cat,Acceptable,Poor,Exceeds Expectations,16,Keeper,-56,2,No,Yes,Extendable Ears,441,95,5
Dean Bell,Gryffindor,2,"9 inches, elm, veela hair core",Muggle Born,Exceeds Expectations,Poor,Acceptable,8,Chaser,174,4,Yes,Yes,"Sneakoscope, Marauder's Map",111,72,7
Neville Spinnet,Ravenclaw,3,"10 inches, oak, dragon heartstring core",,Poor,Acceptable,Outstanding,25,,142,3,Yes,No,"Firebolt, Sneakoscope, Extendable Ears",296,36,5
Pansy Chang,Gryffindor,1,"9 inches, elm, veela hair core",Cat,Acceptable,Poor,Acceptable,23,Beater,35,0,Yes,No,"Firebolt, Extendable Ears, Invisibility Cloak",391,49,5
Neville Granger,Ravenclaw,2,"9 inches, elm, veela hair core",Cat,Outstanding,Exceeds Expectations,Poor,26,Keeper,56,1,No,Yes,Extendable Ears,372,92,6
Hermione Finnigan,Gryffindor,5,"10 inches, oak, dragon heartstring core",Cat,Outstanding,Exceeds Expectations,Poor,22,Chaser,84,2,Yes,No,"Firebolt, Sneakoscope",111,59,5
,,2,"12 inches, yew, unicorn hair core",Cat,Exceeds Expectations,Exceeds Expectations,Poor,10,,-3,0,No,Yes,"Extendable Ears, Time-Turner",278,29,10
Angelina Brown,Slytherin,1,"11 inches, holly, phoenix feather core",Muggle Born,Poor,Acceptable,Outstanding,6,,-79,0,No,No,"Time-Turner, Firebolt, Invisibility Cloak",430,37,5
Hermione Granger,GRYFFINDOR,5,"11 inches, holly, phoenix feather core",Cat,Outstanding,Exceeds Expectations,Exceeds Expectations,7,Chaser,58,0,Yes,No,Invisibility Cloak,328,58,0
Angelina Spinnet,Hufflepuff,1,"11 inches, holly, phoenix feather core",Cat,Acceptable,Poor,Poor,19,Keeper,-43,5,No,Yes,"Time-Turner, Sneakoscope, Marauder's Map",258,38,7
George Granger,Ravenclaw,2,"10 inches, oak, dragon heartstring core",Cat,Poor,Acceptable,Acceptable,22,Seeker,61,1,Yes,No,"Sneakoscope, Firebolt, Invisibility Cloak",92,81,9
Hermione Malfoy,,7,"10 inches, oak, dragon heartstring core",Cat,Acceptable,Poor,Exceeds Expectations,8,Chaser,-24,1,Yes,No,Marauder's Map,419,70,7
Luna Parkinson,Gryffindor,3,"10 inches, oak, dragon heartstring core",Toad,Outstanding,Acceptable,Poor,27,Chaser,22,0,Yes,No,"Marauder's Map, Extendable Ears, Invisibility Cloak",157,62,3
Lavender Parkinson,Hufflepuff,6,"11 inches, holly, phoenix feather core",Toad,Outstanding,Acceptable,Poor,10,Chaser,47,4,Yes,Yes,"Extendable Ears, Sneakoscope, Firebolt",361,47,4
Alicia Boot,,5,"9 inches, elm, veela hair core",Dragon,Acceptable,Poor,Outstanding,10,Keeper,97,0,No,No,Firebolt,238,26,1
Blaise Brown,Hufflepuff,3,"11 inches, holly, phoenix feather core",Muggle Born,Acceptable,Outstanding,Exceeds Expectations,29,Chaser,105,4,Yes,No,Sneakoscope,199,76,9
Ginny Parkinson,Ravenclaw,3,"9 inches, elm, veela hair core",Owl,Outstanding,Outstanding,Outstanding,19,Ch(aser,78,1,Yes,No,"Firebolt, Sneakoscope",77,92,9
Alicia Longbottom,Slytherin,6,"10 inches, oak, dragon heartstring core",,Acceptable,Poor,Outstanding,24,Chaser,-85,3,Yes,No,Extendable Ears,100,99,2
Tebrry Patil,Slytherin,3,"11 inches, holly, phoenix feather core",Dragon,Exceeds Expectations,Acceptable,Poor,11,Beater,47,1,No,Yes,"Invisibility Cloak, Marauder's Map, Extendable Ears",27,52,6
Pansy Bones,Slytherin,4,"12 inches, yew, unicorn hair core",,Poor,Acceptable,Poor,25,Seeker,198,5,Yes,Yes,"Invisibility Cloak, Extendable Ears",291,68,6
Cedric Parkinson,Gryffindor,2,"10 inches, oak, dragon heartstring core",,Acceptable,Exceeds Expectations,Outstanding,27,Keeper,108,2,Yes,No,"Marauder's Map, Invisibility Cloak, Time-Turner",363,95,5
Hzarry Chang,Gryffindor,3,"12 inches, yew, unicorn hair core",Toad,Poor,Acceptable,Acceptable,29,Chaser,51,4,Yes,,"Sneakoscope, Invisibility Cloak",458,34,4
Ginny Finnigan,,7,"12 inches, yew, unicorn hair core",Toad,,Exceeds Expectations,Poor,22,Chaser,124,4,No,No,"Time-Turner, Extendable Ears",414,31,2
,Gryffindor,4,"11 inches, holly, phoenix feather core",Dragon,Poor,Outstanding,Acceptable,25,,-44,5,Yes,Yes,"Sneakoscope, Time-Turner",274,42,8
Fred Finnigan,Slytherin,5,"12 inches, yew, unicorn hair core",Toad,Outstanding,Outstanding,Outstanding,9,,34,0,No,Yes,"Time-Turner, Invisibility Cloak, Sneakoscope",166,32,5
Katie Diggory,Ravenclaw,6,"12 inches, yew, unicorn hair core",Cat,Outstanding,Acceptable,Acceptable,9,,124,0,Yes,Yes,Time-Turner,457,61,2
Pansy Parkinson,,5,"10 inches, oak, dragon heartstring core",Owl,Acceptable,Poor,Poor,11,Seeker,124,0,Yes,No,Sneakoscope,470,30,2
Heurmione Spinnet,,1,"12 inches, yew, unicorn hair core",Toad,Outstanding,Acceptable,Exceeds Expectations,23,,90,1,Yes,Yes,"Marauder's Map, Time-Turner",263,53,9
Hearry Bell,,3,"11 inches, holly, phoenix feather core",Dragon,Exceeds Expectations,Outstanding,Outstanding,7,Seeker,-81,0,No,Yes,"Time-Turner, Extendable Ears, Marauder's Map",105,72,8
Parvati Malfoy,Hufflepuff,6,"9 inches, elm, veela hair core",,Exceeds Expectations,Acceptable,Exceeds Expectations,21,Chaser,86,3,No,No,"Extendable Ears, Marauder's Map",420,50,10
Harry Longbottom,Ravenclaw,5,"11 inches, holly, phoenix feather core",Owl,Poor,Outstanding,Outstanding,21,Keeper,182,5,No,No,"Marauder's Map, Firebolt",168,38,2
ParVvati Brown,Ravenclaw,7,"9 inches, elm, veela hair core",Owl,Outstanding,Poor,Exceeds Expectations,24,Chaser,-23,5,No,Yes,"Extendable Ears, Invisibility Cloak",172,95,2
Pansy Zabini,,6,"10 inches, oak, dragon heartstring core",Dragon,Outstanding,Poor,Acceptable,27,Keeper,-9,2,No,Yes,Marauder's Map,0,52,9
,Ravenclaw,3,"11 inches, holly, phoenix feather core",Cat,Poor,Exceeds Expectations,Poor,26,Seeker,151,3,Yes,No,"Firebolt, Invisibility Cloak, Extendable Ears",265,95,3
Cedric Thomas,Ravenclaw,1,"9 inches, elm, veela hair core",Muggle Born,Poor,Outstanding,Outstanding,15,Chaser,153,0,Yes,Yes,"Extendable Ears, Sneakoscope",313,87,5
Padma Granger,Slytherin,5,"12 inches, yew, unicorn hair core",Dragon,Acceptable,Exceeds Expectations,Outstanding,29,Seeker,88,0,Yes,Yes,"Marauder's Map, Firebolt, Time-Turner",165,76,1
,Gryffindor,2,"12 inches, yew, unicorn hair core",Toad,Acceptable,Poor,Outstanding,19,,181,4,No,Yes,"Extendable Ears, Marauder's Map",6,84,9
Harry BonJes,Slytherin,4,"10 inches, oak, dragon heartstring core",Owl,Acceptable,Exceeds Expectations,Outstanding,28,Beater,-38,5,Yes,No,"Firebolt, Sneakoscope",194,80,3
Hermione Granger,Ravenclaw,6,"10 inches, oak, dragon heartstring core",Owl,Poor,Outstanding,Poor,5,Seeker,68,5,Yes,No,"Firebolt, Marauder's Map, Extendable Ears",128,93,4
Blaise Bell,Gryffindor,6,"11 inches, holly, phoenix feather core",Muggle Born,Poor,Exceeds Expectations,Acceptable,14,Beater,73,1,No,Yes,Firebolt,499,47,9
Fred Malfoy,Gryffindor,7,"9 inches, elm, veela hair core",Toad,Poor,Poor,Acceptable,10,Chaser,-95,0,No,No,"Invisibility Cloak, Time-Turner",278,76,1
Harry Chang,Hufflepuff,3,"11 inches, holly, phoenix feather core",Muggle Born,Acceptable,Outstanding,Acceptable,6,Chaser,-18,3,Yes,Yes,Sneakoscope,121,77,0
Ron Weasley,Slytherin,1,"12 inches, yew, unicorn hair core",Dragon,Acceptable,Exceeds Expectations,Acceptable,8,Beater,-78,2,No,Yes,"Firebolt, Sneakoscope, Invisibility Cloak",69,91,6
Alicia Chang,Gryffindor,4,"9 inches, elm, veela hair core",Owl,Poor,Acceptable,Poor,9,Seeker,175,4,Yes,Yes,Invisibility Cloak,339,97,1
,Hufflepuff,6,"12 inches, yew, unicorn hair core",Dragon,Outstanding,Acceptable,Exceeds Expectations,15,Keeper,164,2,Yes,Yes,Firebolt,478,40,10
Katie Thomas,Ravenclaw,6,"12 inches, yew, unicorn hair core",,Acceptable,Poor,Outstanding,22,Chaser,166,3,Yes,Yes,Firebolt,159,32,2
Cho Boot,Slytherin,4,"9 inches, elm, veela hair core",Muggle Born,Outstanding,Exceeds Expectations,Acceptable,7,Seeker,96,4,No,Yes,"Firebolt, Extendable Ears, Time-Turner",10,53,10
Susan Malfoy,Gryffindor,2,"12 inches, yew, unicorn hair core",Dragon,Poor,Outstanding,Exceeds Expectations,5,,85,4,No,Yes,"Sneakoscope, Time-Turner, Marauder's Map",122,56,2
Neville Johnson,Hufflepuff,2,"9 inches, elm, veela hair core",Owl,,Acceptable,Acceptable,11,Seeker,20,3,No,Yes,"Marauder's Map, Extendable Ears",52,57,0
Terry Parkinson,Ravenclaw,5,"10 inches, oak, dragon heartstring core",,Acceptable,Exceeds Expectations,Acceptable,21,Seeker,-95,3,No,No,Firebolt,391,31,9
,Hufflepuff,4,"12 inches, yew, unicorn hair core",Muggle Born,Poor,Exceeds Expectations,Outstanding,18,,-7,0,Yes,No,Firebolt,372,73,8
Ginny Finnigan,Ravenclaw,6,"12 inches, yew, unicorn hair core",Toad,Poor,Outstanding,Acceptable,14,C\haser,-77,1,No,Yes,Sneakoscope,55,67,2
Ron Zabini,Hufflepuff,1,"11 inches, holly, phoenix feather core",Toad,Acceptable,Outstanding,Poor,15,Se[eker,13,5,Yes,No,Sneakoscope,103,73,2
Parvati Bones,Hufflepuff,7,"12 inches, yew, unicorn hair core",Muggle Born,Acceptable,Exceeds Expectations,Exceeds Expectations,27,Beater,152,1,No,Yes,Firebolt,185,26,7
Padma Longbottom,Hufflepuff,6,"12 inches, yew, unicorn hair core",Toad,Exceeds Expectations,Acceptable,Exceeds Expectations,6,Chaser,164,2,No,Yes,"Time-Turner, Invisibility Cloak",296,70,2
Susan Brown,,2,"9 inches, elm, veela hair core",Dragon,Acceptable,Outstanding,Poor,23,Seeker,85,5,Yes,Yes,"Firebolt, Time-Turner",324,47,4
George Brown,Slytherin,4,"11 inches, holly, phoenix feather core",Dragon,Outstanding,Exceeds Expectations,Outstanding,9,Chaser,34,2,No,Yes,Sneakoscope,366,58,1
Draco Malfoy,Gryffindor,2,"9 inches, elm, veela hair core",Toad,Exceeds Expectations,Exceeds Expectations,Exceeds Expectations,22,Beater,98,2,Yes,Yes,"Extendable Ears, Firebolt, Invisibility Cloak",261,46,3
Parvati Boot,,3,"11 inches, holly, phoenix feather core",,Acceptable,Outstanding,Outstanding,10,Seeker,-6,2,No,No,"Extendable Ears, Firebolt, Marauder's Map",163,58,7
Lavender Chang,Hufflepuff,5,"9 inches, elm, veela hair core",Owl,Acceptable,Poor,Outstanding,12,Chaser,74,0,Yes,No,"Invisibility Cloak, Firebolt, Time-Turner",126,70,3
Pansyl Weasley,Gryffindor,4,"10 inches, oak, dragon heartstring core",Muggle Born,Exceeds Expectations,Acceptable,Acceptable,10,Keeper,193,2,No,Yes,Marauder's Map,64,57,8
Draco Parkinson,Slytherin,7,"12 inches, yew, unicorn hair core",Muggle Born,Exceeds Expectations,Acceptable,Outstanding,15,Keeper,69,2,No,Yes,"Time-Turner, Sneakoscope",280,50,9
Luna Granger,Slytherin,4,"12 inches, yew, unicorn hair core",Cat,Exceeds Expectations,Acceptable,Poor,10,Seeker,-31,1,No,Yes,"Extendable Ears, Invisibility Cloak",495,81,4
Parvati Finnigan,Gryffindor,7,"12 inches, yew, unicorn hair core",Dragon,Poor,Poor,Poor,19,Keeper,-35,5,No,No,"Invisibility Cloak, Extendable Ears",494,35,5
Padma Weasley,Gryffindor,7,"11 inches, holly, phoenix feather core",,Outstanding,Exceeds Expectations,Exceeds Expectations,27,Beater,38,3,Yes,Yes,"Marauder's Map, Time-Turner",144,31,6
Terry Spinnet,Slytherin,4,"12 inches, yew, unicorn hair core",Cat,Acceptable,Exceeds Expectations,Outstanding,17,Beater,148,5,No,Yes,"Sneakoscope, Extendable Ears, Firebolt",480,73,7
Terry Thomas,,2,"11 inches, holly, phoenix feather core",Toad,Poor,Outstanding,Outstanding,16,Beater,121,4,No,Yes,Invisibility Cloak,101,78,4
Cedric Spinnet,Gryffindor,4,"12 inches, yew, unicorn hair core",Dragon,Poor,Outstanding,Acceptable,20,,29,1,No,Yes,"Marauder's Map, Firebolt",72,78,1
Ron Parkinson,Gryffindor,7,"9 inches, elm, veela hair core",,Poor,Outstanding,Outstanding,5,Seeker,-7,4,No,No,Firebolt,169,56,2
Dean Finnigan,Slytherin,2,"9 inches, elm, veela hair core",Dragon,Exceeds Expectations,Exceeds Expectations,Outstanding,9,Seeker,43,1,No,No,"Time-Turner, Invisibility Cloak, Sneakoscope",294,42,4
Dean Thomas,Ravenclaw,4,"12 inches, yew, unicorn hair core",Owl,Acceptable,Outstanding,Outstanding,22,Seeke<r,96,0,Yes,,"Time-Turner, Invisibility Cloak, Firebolt",427,91,3
Pansy Diggory,Slytherin,4,"11 inches, holly, phoenix feather core",Toad,Acceptable,Acceptable,Acceptable,16,Seeker,73,1,Yes,Yes,Extendable Ears,475,25,1
Neville Thomas,Gryffindor,5,"12 inches, yew, unicorn hair core",Cat,Outstanding,Outstanding,Acceptable,18,Chaser\,17,2,No,Yes,"Sneakoscope, Extendable Ears, Invisibility Cloak",360,79,5
,Ravenclaw,2,"11 inches, holly, phoenix feather core",Cat,Acceptable,Exceeds Expectations,Poor,8,Beater,-19,3,Yes,No,Extendable Ears,375,95,8
Ron Finnigan,Gryffindor,7,"10 inches, oak, dragon heartstring core",,Outstanding,Outstanding,Exceeds Expectations,14,Keeper,-37,3,Yes,Yes,"Time-Turner, Marauder's Map",348,40,9
Dean Brown,Gryffindor,7,"10 inches, oak, dragon heartstring core",Owl,Poor,Acceptable,Exceeds Expectations,5,,103,2,Yes,No,Sneakoscope,376,72,2
