Student Name,House,Year,Wand Type,Pet,Potions Grade,Defense Against the Dark Arts Grade,Transfiguration Grade,Spells Learned,Quidditch Position,Points Earned for House,Detentions,Participation in Dueling Club,Triwizard Tournament Involvement,Items Owned,Knuts Spent in Hogsmeade,Attendance at Classes,Magical Accidents
Padma Brown,Slytherin,5,"9 inches, elm, veela hair core",Cat,Outstanding,Outstanding,Outstanding,25,Keeper,7,1,Yes,No,"Sneakoscope, Firebolt, Extendable Ears",482,30,8
,Ravenclaw,6,"12 inches, yew, unicorn hair core",Dragon,Outstanding,Outstanding,Acceptable,28,Keeper,188,3,No,,"Firebolt, Marauder's Map, Time-Turner",189,62,4
,Slytherin,5,"11 inches, holly, phoenix feather core",Dragon,Acceptable,Outstanding,Exceeds Expectations,15,,109,5,Yes,Yes,"Time-Turner, Sneakoscope, Invisibility Cloak",257,49,0
Pansy Spinnet,Slytherin,1,"9 inches, elm, veela hair core",Cat,Exceeds Expectations,Exceeds Expectations,Outstanding,30,,87,4,No,,"Marauder's Map, Firebolt, Extendable Ears",10,69,5
Dean Weasley,Ravenclaw,5,"12 inches, yew, unicorn hair core",,Outstanding,Poor,Outstanding,30,Seeker,132,3,No,Yes,Extendable Ears,117,51,1
,SLYTHERIN,1,"12 inches, yew, unicorn hair core",Dragon,Outstanding,Outstanding,Acceptable,8,Seeker,200,0,No,No,"Extendable Ears, Marauder's Map, Invisibility Cloak",107,99,3
Neville Brown,Ravenclaw,6,"9 inches, elm, veela hair core",Dragon,Exceeds Expectations,Exceeds Expectations,Acceptable,20,,173,3,No,Yes,Sneakoscope,87,86,10
Lavender Diggoray,SLYTHERIN,1,"11 inches, holly, phoenix feather core",Cat,Exceeds Expectations,Outstanding,Acceptable,24,Seeker,-53,4,Yes,Yes,Marauder's Map,307,63,4
,Hufflepuff,3,"10 inches, oak, dragon heartstring core",Dragon,Exceeds Expectations,Exceeds Expectations,Poor,11,Beater,180,1,No,No,"Invisibility Cloak, Firebolt",401,94,5
,Hufflepuff,2,"12 inches, yew, unicorn hair core",,Poor,Exceeds Expectations,Poor,8,Seeker,-49,0,No,No,"Time-Turner, Invisibility Cloak",40,64,6
Hermione Parkinson,Ravenclaw,6,"10 inches, oak, dragon heartstring core",,Exceeds Expectations,Outstanding,Acceptable,22,Beater,64,0,Yes,Yes,"Invisibility Cloak, Extendable Ears",310,70,2
,HUFFLEPUFF,1,"12 inches, yew, unicorn hair core",,Poor,Exceeds Expectations,Poor,17,Seeker,26,1,Yes,,Sneakoscope,242,64,2
TerryE Chang,Slytherin,3,"12 inches, yew, unicorn hair core",Muggle Born,Acceptable,Outstanding,Exceeds Expectations,25,Keeper,68,2,No,Yes,"Invisibility Cloak, Time-Turner, Marauder's Map",74,40,0
Lavender Weasley,Ravenclaw,1,"9 inches, elm, veela hair core",Toad,Acceptable,Acceptable,Exceeds Expectations,24,Seeker,44,1,Yes,Yes,"Extendable Ears, Invisibility Cloak",397,92,1
Katie Finnigan,Hufflepuff,5,"10 inches, oak, dragon heartstring core",Muggle Born,,Poor,Exceeds Expectations,14,Chaser,181,5,No,No,"Time-Turner, Extendable Ears",231,36,5
Cedric Diggory,Gryffindor,7,"10 inches, oak, dragon heartstring core",Toad,Poor,Outstanding,Exceeds Expectations,10,Beater,15,3,Yes,,Extendable Ears,213,54,10
,Slytherin,6,"10 inches, oak, dragon heartstring core",Cat,Poor,Exceeds Expectations,Acceptable,6,Beater,-78,1,No,Yes,Sneakoscope,339,36,2
,Ravenclaw,5,"10 inches, oak, dragon heartstring core",Toad,Exceeds Expectations,Acceptable,Acceptable,7,Keeper,126,2,No,No,"Firebolt, Time-Turner, Marauder's Map",155,68,1
,Slytherin,4,"10 inches, oak, dragon heartstring core",,Outstanding,Acceptable,Acceptable,17,Seeker,52,3,Yes,,Marauder's Map,246,36,6
,Gryffindor,3,"9 inches, elm, veela hair core",Toad,Outstanding,Acceptable,Poor,27,Beater,129,0,No,Yes,"Marauder's Map, Extendable Ears",128,80,6
Alicia Bell,SLYTHERIN,5,"10 inches, oak, dragon heartstring core",Cat,Outstanding,Acceptable,Acceptable,16,,141,2,Yes,No,"Firebolt, Invisibility Cloak",467,83,3
,Gryffindor,6,"10 inches, oak, dragon heartstring core",Cat,Outstanding,Outstanding,Poor,30,Beater,171,2,No,,"Time-Turner, Extendable Ears",52,28,10
,Ravenclaw,7,"10 inches, oak, dragon heartstring core",Owl,Outstanding,Exceeds Expectations,Outstanding,15,Bea^ter,82,4,No,No,"Extendable Ears, Firebolt, Marauder's Map",125,99,4
Blaise Bell,Slytherin,6,"12 inches, yew, unicorn hair core",,Acceptable,Exceeds Expectations,Poor,21,Chaser,-83,2,Yes,No,Sneakoscope,259,77,2
,Ravenclaw,2,"12 inches, yew, unicorn hair core",,Acceptable,Acceptable,Poor,28,Keeper,-82,1,No,No,"Firebolt, Invisibility Cloak, Time-Turner",195,48,7
Fred Potter,RAVENCLAW,3,"11 inches, holly, phoenix feather core",Owl,Poor,Poor,Poor,30,Keeper,-45,1,Yes,,"Marauder's Map, Invisibility Cloak",195,45,4
,HUFFLEPUFF,7,"10 inches, oak, dragon heartstring core",Dragon,Acceptable,Outstanding,Acceptable,18,Keeper,-48,0,Yes,,"Firebolt, Extendable Ears, Marauder's Map",60,37,5
Draco ZabiYni,Hufflepuff,6,"10 inches, oak, dragon heartstring core",Cat,Outstanding,Poor,Exceeds Expectations,13,Beater,-80,2,No,,Extendable Ears,355,30,6
Blaise Granger,GRYFFINDOR,6,"12 inches, yew, unicorn hair core",Toad,Acceptable,Exceeds Expectations,Outstanding,19,Ch]aser,157,5,Yes,Yes,Firebolt,12,37,1
,Gryffindor,3,"11 inches, holly, phoenix feather core",Toad,Exceeds Expectations,Poor,Exceeds Expectations,20,Chaser,92,5,No,No,"Firebolt, Sneakoscope, Extendable Ears",79,84,8
,Hufflepuff,5,"10 inches, oak, dragon heartstring core",,Poor,Poor,Outstanding,11,Seeker,36,5,Yes,No,"Invisibility Cloak, Sneakoscope",226,87,3
Dean Potter,Gryffindor,7,"10 inches, oak, dragon heartstring core",Dragon,Exceeds Expectations,Outstanding,Poor,27,Beater,95,3,No,No,Sneakoscope,463,52,7
Lavender Patil,Gryffindor,7,"9 inches, elm, veela hair core",Owl,Acceptable,Poor,Outstanding,28,,-6,0,No,No,Invisibility Cloak,120,78,10
,SLYTHERIN,4,"9 inches, elm, veela hair core",Toad,Acceptable,Poor,Acceptable,16,Seeker,37,3,No,Yes,"Marauder's Map, Firebolt",479,41,9
,SLYTHERIN,2,"9 inches, elm, veela hair core",,Outstanding,Exceeds Expectations,Outstanding,19,Seeker,-86,0,No,No,Invisibility Cloak,388,34,9
Alicia Finnigan,SLYTHERIN,1,"10 inches, oak, dragon heartstring core",Cat,Poor,Outstanding,Outstanding,20,Beater,-98,3,Yes,Yes,Firebolt,1,51,8
Luna Lovegood,Ravenclaw,7,"12 inches, yew, unicorn hair core",Muggle Born,Outstanding,Exceeds Expectations,Outstanding,23,Chaser,-33,3,No,Yes,Sneakoscope,292,64,8
Pansy Granger,Gryffindor,6,"10 inches, oak, dragon heartstring core",Muggle Born,Acceptable,Poor,Poor,23,Beater,187,0,No,,"Invisibility Cloak, Sneakoscope, Firebolt",230,76,4
Katie Thomas,GRYFFINDOR,3,"11 inches, holly, phoenix feather core",Toad,Acceptable,Outstanding,Poor,9,Beater,153,4,Yes,,Marauder's Map,436,48,3
,SLYTHERIN,4,"9 inches, elm, veela hair core",Muggle Born,Outstanding,Poor,Outstanding,24,Chaser,102,5,No,No,Invisibility Cloak,76,77,6
Cho Longbottom,Gryffindor,4,"10 inches, oak, dragon heartstring core",Owl,Outstanding,Poor,Exceeds Expectations,27,Chaser,182,2,Yes,Yes,Firebolt,248,92,10
Katie Weasley,Ravenclaw,4,"10 inches, oak, dragon heartstring core",Cat,Acceptable,Exceeds Expectations,Outstanding,10,Chaser,-79,1,Yes,Yes,Marauder's Map,212,81,10
,Hufflepuff,5,"12 inches, yew, unicorn hair core",Toad,Acceptable,Poor,Acceptable,8,Beater,191,2,No,No,"Extendable Ears, Sneakoscope, Time-Turner",47,45,7
Katie Lovegood,Gryffindor,7,"10 inches, oak, dragon heartstring core",,Exceeds Expectations,Poor,Outstanding,19,K|eeper,63,4,No,No,"Extendable Ears, Sneakoscope, Marauder's Map",90,53,0
,,4,"9 inches, elm, veela hair core",Muggle Born,Poor,Acceptable,Exceeds Expectations,27,,139,2,Yes,Yes,"Invisibility Cloak, Time-Turner, Extendable Ears",198,42,10
,Hufflepuff,5,"10 inches, oak, dragon heartstring core",Owl,Poor,Acceptable,Outstanding,29,Seeker,-78,4,No,,Firebolt,403,36,10
,Ravenclaw,5,"9 inches, elm, veela hair core",,Exceeds Expectations,Acceptable,Poor,18,Keeper,97,0,Yes,No,Sneakoscope,222,26,7
Pansy Patil,HUFFLEPUFF,3,"10 inches, oak, dragon heartstring core",Owl,Exceeds Expectations,Outstanding,Poor,25,Seeker,76,1,Yes,Yes,"Marauder's Map, Time-Turner, Invisibility Cloak",230,49,9
,RAVENCLAW,4,"9 inches, elm, veela hair core",Muggle Born,Exceeds Expectations,Acceptable,Poor,25,Keeper,135,4,No,Yes,Invisibility Cloak,307,58,1
Draco Patil,Hufflepuff,1,"10 inches, oak, dragon heartstring core",Cat,Acceptable,Poor,Poor,14,,-3,5,No,Yes,Time-Turner,205,93,10
,Hufflepuff,6,"11 inches, holly, phoenix feather core",Muggle Born,Outstanding,Acceptable,Exceeds Expectations,10,,135,4,Yes,No,Extendable Ears,466,41,5
Fred PLatil,Gryffindor,4,"10 inches, oak, dragon heartstring core",,Exceeds Expectations,Poor,Outstanding,29,Seeker,-87,2,Yes,Yes,Marauder's Map,420,56,4
Katie Potter,Gryffindor,7,"11 inches, holly, phoenix feather core",,Acceptable,Poor,Outstanding,30,Beater,-49,2,No,,"Sneakoscope, Invisibility Cloak, Time-Turner",325,40,7
Seamus Brown,Hufflepuff,7,"12 inches, yew, unicorn hair core",Muggle Born,Outstanding,Poor,Exceeds Expectations,7,Beater,156,1,Yes,Yes,"Time-Turner, Marauder's Map, Invisibility Cloak",418,44,2
Parvati Weausley,Gryffindor,4,"9 inches, elm, veela hair core",Muggle Born,,Acceptable,Exceeds Expectations,24,Seeker,-100,4,Yes,No,"Invisibility Cloak, Marauder's Map, Firebolt",224,41,6
FKred Patil,Hufflepuff,2,"11 inches, holly, phoenix feather core",Cat,Poor,Poor,Exceeds Expectations,8,Beater,166,2,Yes,Yes,"Extendable Ears, Time-Turner",491,84,2
Lavender Bones,Gryffindor,2,"12 inches, yew, unicorn hair core",,Acceptable,Acceptable,Poor,18,Beater,145,1,Yes,Yes,"Time-Turner, Sneakoscope",180,32,10
,Hufflepuff,3,"11 inches, holly, phoenix feather core",Cat,Poor,Exceeds Expectations,Poor,27,,79,4,No,No,Extendable Ears,245,78,2
,Gryffindor,7,"11 inches, holly, phoenix feather core",Cat,,Exceeds Expectations,Acceptable,22,,-51,4,No,No,"Extendable Ears, Invisibility Cloak, Sneakoscope",377,51,2
,Gryffindor,3,"10 inches, oak, dragon heartstring core",,Exceeds Expectations,Poor,Acceptable,16,,29,4,No,Yes,"Extendable Ears, Firebolt, Marauder's Map",367,96,3
,Hufflepuff,5,"11 inches, holly, phoenix feather core",Muggle Born,Poor,Poor,Acceptable,11,Chaser,76,2,No,,"Time-Turner, Firebolt, Extendable Ears",396,76,5
,Slytherin,4,"12 inches, yew, unicorn hair core",Owl,Poor,Outstanding,Acceptable,24,Chaser,76,4,No,No,"Firebolt, Invisibility Cloak, Sneakoscope",46,84,0
Dean Pattil,Ravenclaw,4,"11 inches, holly, phoenix feather core",Dragon,Outstanding,Outstanding,Poor,25,Seeker,-23,3,Yes,Yes,Firebolt,328,78,10
Lavender Bell,Slytherin,7,"12 inches, yew, unicorn hair core",Dragon,Acceptable,Poor,Exceeds Expectations,15,Cha-ser,132,1,Yes,,"Invisibility Cloak, Extendable Ears",436,90,3
,Slytherin,6,"9 inches, elm, veela hair core",Cat,Acceptable,Poor,Poor,17,,198,0,No,,"Sneakoscope, Invisibility Cloak",111,86,1
Hermione Weasley,Hufflepuff,3,"11 inches, holly, phoenix feather core",Cat,Poor,Exceeds Expectations,Outstanding,20,Keeper,-44,0,No,,"Invisibility Cloak, Firebolt",270,40,3
,SLYTHERIN,1,"12 inches, yew, unicorn hair core",Owl,Poor,Exceeds Expectations,Acceptable,22,,-15,1,No,Yes,"Time-Turner, Sneakoscope",467,73,0
Ginny Lovegood,GRYFFINDOR,6,"11 inches, holly, phoenix feather core",Dragon,Acceptable,Outstanding,Outstanding,25,Seeker,67,3,Yes,Yes,Firebolt,409,67,6
,Slytherin,1,"11 inches, holly, phoenix feather core",Toad,Exceeds Expectations,Exceeds Expectations,Poor,17,Beater,103,0,Yes,Yes,Firebolt,226,30,5
,SLYTHERIN,2,"9 inches, elm, veela hair core",Cat,Acceptable,Acceptable,Outstanding,11,Keeper,84,3,Yes,No,"Extendable Ears, Marauder's Map, Time-Turner",104,66,9
Ginny Chang,RAVENCLAW,4,"9 inches, elm, veela hair core",,Poor,Outstanding,Exceeds Expectations,26,Chaser,42,2,Yes,Yes,Marauder's Map,355,26,4
Draco Patil,Hufflepuff,7,"12 inches, yew, unicorn hair core",Dragon,Acceptable,Poor,Poor,12,,79,3,Yes,Yes,"Firebolt, Extendable Ears",458,95,2
,Hufflepuff,2,"10 inches, oak, dragon heartstring core",Cat,,Acceptable,Exceeds Expectations,5,Keeper,191,4,Yes,,"Sneakoscope, Invisibility Cloak",186,73,2
Cho Johnson,Slytherin,3,"9 inches, elm, veela hair core",Cat,Poor,Exceeds Expectations,Poor,15,,58,2,No,Yes,"Extendable Ears, Marauder's Map",236,45,10
Alicia Potter,SLYTHERIN,3,"10 inches, oak, dragon heartstring core",Owl,Acceptable,Acceptable,Outstanding,25,Chaser,-52,0,No,No,"Sneakoscope, Invisibility Cloak, Extendable Ears",155,32,0
,Hufflepuff,4,"10 inches, oak, dragon heartstring core",Muggle Born,Poor,Exceeds Expectations,Poor,11,Seeker,76,1,Yes,Yes,"Firebolt, Sneakoscope",335,30,2
Harry Longbottom,Hufflepuff,6,"9 inches, elm, veela hair core",Cat,,Poor,Exceeds Expectations,19,Chaser,114,0,No,Yes,"Sneakoscope, Extendable Ears, Time-Turner",90,67,9
,Ravenclaw,3,"9 inches, elm, veela hair core",Toad,Acceptable,Outstanding,Poor,24,Chaser,35,3,Yes,No,Sneakoscope,304,70,10
,SLYTHERIN,4,"9 inches, elm, veela hair core",Dragon,Outstanding,Poor,Acceptable,11,Chaser_,170,3,Yes,No,"Invisibility Cloak, Extendable Ears",95,47,5
,Slytherin,5,"11 inches, holly, phoenix feather core",Dragon,Outstanding,Exceeds Expectations,Exceeds Expectations,18,,154,2,No,No,"Marauder's Map, Sneakoscope",459,63,8
,Hufflepuff,6,"12 inches, yew, unicorn hair core",Owl,Acceptable,Acceptable,Exceeds Expectations,20,Chaser,-14,1,Yes,No,"Time-Turner, Marauder's Map",145,55,3
,Slytherin,5,"11 inches, holly, phoenix feather core",,Acceptable,Outstanding,Outstanding,26,,114,2,Yes,No,Marauder's Map,151,97,2
,Slytherin,7,"12 inches, yew, unicorn hair core",Owl,Exceeds Expectations,Poor,Outstanding,25,Keeper,93,1,Yes,Yes,"Invisibility Cloak, Time-Turner, Firebolt",11,33,9
,Gryffindor,1,"9 inches, elm, veela hair core",Dragon,Acceptable,Poor,Outstanding,26,,-52,4,Yes,No,Marauder's Map,130,36,10
Ron Thomas,HUFFLEPUFF,3,"12 inches, yew, unicorn hair core",Owl,Acceptable,Exceeds Expectations,Exceeds Expectations,20,Seeker,121,0,No,,"Marauder's Map, Extendable Ears, Time-Turner",274,40,6
,Ravenclaw,1,"11 inches, holly, phoenix feather core",Toad,Acceptable,Poor,Outstanding,27,Chaser,17,1,Yes,No,"Invisibility Cloak, Time-Turner",349,64,4
,GRYFFINDOR,6,"11 inches, holly, phoenix feather core",,Poor,Poor,Acceptable,30,,72,5,No,No,"Firebolt, Invisibility Cloak, Extendable Ears",359,70,10
Hermione Granger,Slytherin,2,"9 inches, elm, veela hair core",Toad,Poor,Exceeds Expectations,Poor,8,Beater,108,0,Yes,Yes,"Sneakoscope, Extendable Ears, Invisibility Cloak",143,100,9
,Slytherin,7,"11 inches, holly, phoenix feather core",Toad,Exceeds Expectations,Poor,Outstanding,8,,83,1,Yes,Yes,"Marauder's Map, Time-Turner",395,97,3
Draco Zabini,Ravenclaw,2,"12 inches, yew, unicorn hair core",Dragon,Poor,Exceeds Expectations,Poor,28,"S""eeker",-14,1,Yes,No,Extendable Ears,481,44,2
,Slytherin,2,"10 inches, oak, dragon heartstring core",Dragon,Exceeds Expectations,Exceeds Expectations,Acceptable,15,Keeper,60,3,Yes,Yes,"Firebolt, Extendable Ears",454,30,4
,Gryffindor,4,"11 inches, holly, phoenix feather core",Dragon,Exceeds Expectations,Outstanding,Poor,14,Seeker,53,5,No,Yes,"Invisibility Cloak, Firebolt, Marauder's Map",124,75,3
,Gryffindor,4,"12 inches, yew, unicorn hair core",Dragon,Outstanding,Outstanding,Outstanding,15,Beater,187,1,No,No,Sneakoscope,321,49,2
Neville Brown,Gryffindor,7,"11 inches, holly, phoenix feather core",Owl,,Exceeds Expectations,Exceeds Expectations,25,Chaser,-28,3,Yes,Yes,"Extendable Ears, Marauder's Map",457,49,2
Blaise Patil,SLYTHERIN,6,"9 inches, elm, veela hair core",Cat,Exceeds Expectations,Poor,Poor,11,Beater,62,3,Yes,No,"Marauder's Map, Firebolt",255,70,1
Neville Brown,Hufflepuff,6,"11 inches, holly, phoenix feather core",Owl,Exceeds Expectations,Poor,Outstanding,24,Beater,-99,1,No,,"Extendable Ears, Firebolt",343,65,4
Draco Parkinson,RAVENCLAW,4,"10 inches, oak, dragon heartstring core",,Exceeds Expectations,Exceeds Expectations,Exceeds Expectations,29,Seeker,119,4,Yes,No,"Invisibility Cloak, Marauder's Map",497,59,10
Ron Brown,Gryffindor,2,"11 inches, holly, phoenix feather core",Owl,Exceeds Expectations,Exceeds Expectations,Exceeds Expectations,5,Chaser,60,1,Yes,,"Marauder's Map, Sneakoscope, Firebolt",49,33,0
Angelina Thomas,Hufflepuff,7,"9 inches, elm, veela hair core",,Acceptable,Outstanding,Poor,30,,108,5,Yes,,"Sneakoscope, Extendable Ears",49,50,0
Draco Johnson,Gryffindor,3,"9 inches, elm, veela hair core",Toad,Poor,Exceeds Expectations,Acceptable,26,Chaser,195,3,No,No,"Marauder's Map, Invisibility Cloak, Firebolt",0,88,3
Pansy Chang,Gryffindor,3,"10 inches, oak, dragon heartstring core",Dragon,Outstanding,Exceeds Expectations,Exceeds Expectations,26,Beater,160,1,No,No,"Extendable Ears, Sneakoscope",88,88,2
Dean Patil,Ravenclaw,3,"11 inches, holly, phoenix feather core",Dragon,Outstanding,Exceeds Expectations,Outstanding,25,Beat&er,-21,3,Yes,No,Invisibility Cloak,311,85,8
,Gryffindor,2,"10 inches, oak, dragon heartstring core",Muggle Born,Outstanding,Poor,Outstanding,8,Beater,-55,3,No,No,"Extendable Ears, Marauder's Map, Time-Turner",144,62,0
Blaise Patil,Gryffindor,2,"11 inches, holly, phoenix feather core",,Acceptable,Exceeds Expectations,Acceptable,14,Chaser,25,5,Yes,Yes,Marauder's Map,204,27,9
Pansy Malfoy,Hufflepuff,6,"9 inches, elm, veela hair core",,Poor,Poor,Acceptable,29,Chaser,16,0,Yes,No,"Extendable Ears, Sneakoscope",238,94,10
Cho Granger,Hufflepuff,4,"9 inches, elm, veela hair core",Dragon,Outstanding,Exceeds Expectations,Poor,14,Beater,34,4,Yes,No,Extendable Ears,498,25,6
Angelina Lovegood,Gryffindor,4,"10 inches, oak, dragon heartstring core",,Acceptable,Acceptable,Acceptable,9,,22,2,No,Yes,"Extendable Ears, Sneakoscope, Time-Turner",291,59,2
Draco Johnson,Hufflepuff,4,"9 inches, elm, veela hair core",Toad,Acceptable,Acceptable,Poor,28,Chaser,89,5,Yes,,"Marauder's Map, Firebolt",400,79,2
,Slytherin,1,"10 inches, oak, dragon heartstring core",Toad,Outstanding,Poor,Poor,29,Keeper,20,5,No,No,"Sneakoscope, Marauder's Map, Invisibility Cloak",171,86,8
Pansy Diggory,Ravenclaw,2,"12 inches, yew, unicorn hair core",Owl,Poor,Exceeds Expectations,Exceeds Expectations,24,Keeper,-43,2,No,,"Marauder's Map, Firebolt, Time-Turner",399,51,7
,Hufflepuff,5,"11 inches, holly, phoenix feather core",Muggle Born,Exceeds Expectations,Exceeds Expectations,Poor,5,Keeper,47,4,No,Yes,Firebolt,455,79,9
,GRYFFINDOR,7,"12 inches, yew, unicorn hair core",Owl,Exceeds Expectations,Acceptable,Exceeds Expectations,20,Keeper,151,5,Yes,Yes,"Sneakoscope, Invisibility Cloak",27,85,10
,Gryffindor,4,"10 inches, oak, dragon heartstring core",Owl,,Acceptable,Exceeds Expectations,23,,-99,2,Yes,No,"Sneakoscope, Time-Turner",204,71,6
Lavender Bones,Slytherin,5,"11 inches, holly, phoenix feather core",Cat,Poor,Poor,Acceptable,9,Chaser,142,4,No,Yes,"Marauder's Map, Time-Turner",476,65,8
Hermione Potter,Hufflepuff,5,"10 inches, oak, dragon heartstring core",,Outstanding,Exceeds Expectations,Exceeds Expectations,6,Chaser,25,1,No,Yes,Sneakoscope,451,70,1
,Hufflepuff,5,"10 inches, oak, dragon heartstring core",Toad,Exceeds Expectations,Acceptable,Outstanding,18,Keepe>r,49,3,No,,Firebolt,184,41,9
Padma Patil,Gryffindor,1,"9 inches, elm, veela hair core",Toad,Poor,Poor,Outstanding,30,Chaser,143,4,Yes,Yes,"Firebolt, Marauder's Map, Sneakoscope",360,71,8
,Slytherin,4,"9 inches, elm, veela hair core",Muggle Born,Exceeds Expectations,Outstanding,Outstanding,12,Beater,-57,0,Yes,Yes,"Firebolt, Sneakoscope",402,47,6
Seamus Patil,Hufflepuff,6,"12 inches, yew, unicorn hair core",Cat,Exceeds Expectations,Acceptable,Poor,17,,12,2,Yes,No,Invisibility Cloak,330,70,7
Chedric Bell,Gryffindor,5,"10 inches, oak, dragon heartstring core",Cat,Acceptable,Acceptable,Outstanding,16,Be>ater,-18,4,Yes,,"Time-Turner, Extendable Ears",217,71,1
Alicia Lovegood,SLYTHERIN,7,"12 inches, yew, unicorn hair core",Cat,Exceeds Expectations,Exceeds Expectations,Exceeds Expectations,9,,-17,4,No,No,Extendable Ears,278,88,8
Parvati Spinnet,SLYTHERIN,7,"9 inches, elm, veela hair core",Dragon,Poor,Acceptable,Poor,9,Beater,-54,1,No,,"Sneakoscope, Time-Turner, Extendable Ears",174,98,2
Cho Boot,Ravenclaw,7,"10 inches, oak, dragon heartstring core",Muggle Born,Exceeds Expectations,Outstanding,Exceeds Expectations,26,Keeper,38,4,No,No,"Firebolt, Marauder's Map, Time-Turner",468,95,4
Ginny Malfoy,Slytherin,6,"9 inches, elm, veela hair core",Owl,Exceeds Expectations,Outstanding,Exceeds Expectations,21,Keeper,3,0,Yes,Yes,Sneakoscope,305,43,2
Hermione Chang,Ravenclaw,1,"10 inches, oak, dragon heartstring core",Owl,Exceeds Expectations,Outstanding,Outstanding,24,Cha=ser,54,0,No,,"Marauder's Map, Invisibility Cloak, Firebolt",14,47,7
Neville Zabini,GRYFFINDOR,2,"12 inches, yew, unicorn hair core",Muggle Born,Outstanding,Exceeds Expectations,Exceeds Expectations,22,Chaser,-66,4,No,Yes,"Time-Turner, Firebolt",311,55,0
Lavender Patil,Hufflepuff,1,"10 inches, oak, dragon heartstring core",Muggle Born,Poor,Outstanding,Poor,18,Beater,109,0,Yes,No,"Extendable Ears, Marauder's Map",88,77,2
