Student Name,House,Year,Wand Type,Pet,Potions Grade,Defense Against the Dark Arts Grade,Transfiguration Grade,Spells Learned,Quidditch Position,Points Earned for House,Detentions,Participation in Dueling Club,Triwizard Tournament Involvement,Items Owned,Knuts Spent in Hogsmeade,Attendance at Classes,Magical Accidents
Ron Granger,Gryffindor,1,"11 inches, holly, phoenix feather core",Toad,Acceptable,Acceptable,Exceeds Expectations,5,Keeper,120,1,Yes,Yes,"Invisibility Cloak, Firebolt",110,73,10
Terry Weasley,Ravenclaw,1,"9 inches, elm, veela hair core",Muggle Born,Poor,Poor,Exceeds Expectations,7,,44,5,No,No,"Firebolt, Extendable Ears, Invisibility Cloak",364,82,2
,Slytherin,5,"11 inches, holly, phoenix feather core",,Outstanding,Outstanding,Exceeds Expectations,7,Keeper,182,0,Yes,Yes,Invisibility Cloak,68,86,9
CedriZc Bones,Hufflepuff,7,"9 inches, elm, veela hair core",Cat,Acceptable,Acceptable,Exceeds Expectations,14,,184,1,Yes,Yes,Firebolt,140,88,9
Katie Johnson,Slytherin,7,"12 inches, yew, unicorn hair core",Muggle Born,Poor,Poor,Exceeds Expectations,29,Chaser,78,2,Yes,Yes,Extendable Ears,486,45,2
,Hufflepuff,5,"12 inches, yew, unicorn hair core",,Acceptable,Poor,Acceptable,15,Beater,43,1,No,No,"Time-Turner, Marauder's Map",364,79,10
Parvati Granger,Ravenclaw,6,"11 inches, holly, phoenix feather core",,Outstanding,Exceeds Expectations,Exceeds Expectations,6,Seeker,20,5,No,Yes,Marauder's Map,141,73,8
,Ravenclaw,1,"10 inches, oak, dragon heartstring core",,Outstanding,Outstanding,Exceeds Expectations,12,,-11,1,Yes,No,Time-Turner,433,35,7
Terry Weasley,Ravenclaw,5,"9 inches, elm, veela hair core",Cat,Exceeds Expectations,Poor,Outstanding,5,Beater,38,2,No,No,"Firebolt, Invisibility Cloak, Sneakoscope",81,64,3
Cedric Spinnet,Slytherin,4,"10 inches, oak, dragon heartstring core",Toad,Outstanding,Outstanding,Acceptable,13,Keeper,175,5,No,No,Marauder's Map,14,94,7
,Slytherin,5,"9 inches, elm, veela hair core",Owl,Outstanding,Poor,Outstanding,7,Seeker,60,1,Yes,Yes,Extendable Ears,86,37,1
Cedric Spinnet,Hufflepuff,4,"12 inches, yew, unicorn hair core",Owl,Outstanding,Poor,Outstanding,30,C<haser,184,5,No,Yes,Invisibility Cloak,102,78,8
Angelina Longbottom,Hufflepuff,2,"9 inches, elm, veela hair core",Owl,Exceeds Expectations,Poor,Acceptable,24,Keepe:r,-80,3,No,Yes,"Sneakoscope, Extendable Ears",276,48,10
AWlicia Lovegood,Hufflepuff,3,"10 inches, oak, dragon heartstring core",Toad,Poor,Poor,Acceptable,9,Beater,191,5,Yes,Yes,"Invisibility Cloak, Firebolt, Time-Turner",370,51,5
Angelina Bell,Gryffindor,2,"11 inches, holly, phoenix feather core",Toad,Poor,Acceptable,Acceptable,26,Seeke)r,-67,3,No,Yes,"Time-Turner, Invisibility Cloak, Extendable Ears",162,35,6
Luna BrLown,Slytherin,7,"11 inches, holly, phoenix feather core",Muggle Born,Acceptable,Outstanding,Exceeds Expectations,23,Chaser,113,1,No,No,"Invisibility Cloak, Extendable Ears",259,28,10
Luna QLovegood,Ravenclaw,2,"12 inches, yew, unicorn hair core",Dragon,Exceeds Expectations,Outstanding,Outstanding,26,Beater,-78,4,Yes,,"Extendable Ears, Invisibility Cloak, Firebolt",341,53,8
Blaise Granger,Hufflepuff,4,"11 inches, holly, phoenix feather core",Owl,Outstanding,Acceptable,Exceeds Expectations,24,Kee.per,198,2,Yes,No,"Marauder's Map, Extendable Ears",56,26,7
Rhon Chang,Slytherin,5,"10 inches, oak, dragon heartstring core",Toad,Poor,Outstanding,Poor,28,Seeker,56,4,Yes,No,"Time-Turner, Extendable Ears, Marauder's Map",110,28,7
Hermione ThomaLs,Ravenclaw,1,"11 inches, holly, phoenix feather core",Toad,Outstanding,Exceeds Expectations,Outstanding,27,Keeper,138,5,Yes,Yes,"Extendable Ears, Marauder's Map",471,96,8
Terry Thomas,Slytherin,5,"12 inches, yew, unicorn hair core",Dragon,Outstanding,Outstanding,Poor,17,Beater,24,5,No,No,Extendable Ears,451,92,8
Hermione Johnson,Slytherin,6,"12 inches, yew, unicorn hair core",,Exceeds Expectations,Acceptable,Exceeds Expectations,20,,160,5,Yes,Yes,"Sneakoscope, Marauder's Map, Firebolt",276,28,5
,Hufflepuff,1,"11 inches, holly, phoenix feather core",Muggle Born,Outstanding,Acceptable,Poor,17,Seeker+,75,0,No,No,"Time-Turner, Firebolt, Invisibility Cloak",177,64,3
,Ravenclaw,4,"12 inches, yew, unicorn hair core",Dragon,Poor,Outstanding,Outstanding,19,Keeper,-64,1,No,Yes,"Extendable Ears, Marauder's Map, Invisibility Cloak",48,81,1
,HUFFLEPUFF,7,"10 inches, oak, dragon heartstring core",Owl,Outstanding,Acceptable,Outstanding,13,Seeke=r,-21,4,No,No,"Extendable Ears, Time-Turner",223,32,3
Ron Potter,Ravenclaw,2,"9 inches, elm, veela hair core",Toad,Exceeds Expectations,Acceptable,Outstanding,7,,192,3,Yes,No,Extendable Ears,109,97,0
Alicia Boot,Hufflepuff,7,"9 inches, elm, veela hair core",,Outstanding,Exceeds Expectations,Acceptable,22,,178,2,No,Yes,"Time-Turner, Firebolt, Marauder's Map",118,88,0
Fred Powtter,SLYTHERIN,7,"11 inches, holly, phoenix feather core",Toad,Acceptable,Acceptable,Outstanding,27,Chaser,-8,2,Yes,No,Time-Turner,109,61,2
,Ravenclaw,2,"9 inches, elm, veela hair core",Owl,Poor,Exceeds Expectations,Acceptable,20,"Beat""er",-85,4,Yes,,Marauder's Map,413,74,1
,,4,"12 inches, yew, unicorn hair core",,Acceptable,Outstanding,Exceeds Expectations,7,Chase#r,144,2,Yes,Yes,"Time-Turner, Sneakoscope",79,45,5
,Hufflepuff,7,"11 inches, holly, phoenix feather core",Owl,Exceeds Expectations,Acceptable,Poor,11,Keeper,-45,1,No,No,Sneakoscope,275,38,7
Blaise Parkinson,Hufflepuff,1,"12 inches, yew, unicorn hair core",Cat,Outstanding,Exceeds Expectations,Exceeds Expectations,24,Chaser,-22,1,No,Yes,"Marauder's Map, Time-Turner, Invisibility Cloak",272,44,7
Ginny JohInson,Gryffindor,1,"11 inches, holly, phoenix feather core",Dragon,Outstanding,Outstanding,Acceptable,10,Beater,108,1,No,No,Time-Turner,200,74,4
Ginny Spinnet,Slytherin,5,"10 inches, oak, dragon heartstring core",Dragon,Outstanding,Outstanding,Acceptable,13,Seeker,-32,5,No,Yes,Extendable Ears,63,50,1
Lavender Spinnet,Ravenclaw,7,"10 inches, oak, dragon heartstring core",Owl,Exceeds Expectations,Exceeds Expectations,Acceptable,13,Seeker,40,1,No,,"Time-Turner, Sneakoscope, Invisibility Cloak",306,80,4
Hermione Bell,Ravenclaw,7,"10 inches, oak, dragon heartstring core",Muggle Born,Acceptable,Outstanding,Outstanding,5,Seeker,23,5,Yes,Yes,"Time-Turner, Sneakoscope, Marauder's Map",305,35,10
,Slytherin,7,"11 inches, holly, phoenix feather core",Muggle Born,Outstanding,Acceptable,Poor,14,Seeker,153,4,Yes,,"Invisibility Cloak, Sneakoscope",107,47,8
HarryT Johnson,Hufflepuff,2,"12 inches, yew, unicorn hair core",Owl,Exceeds Expectations,Outstanding,Poor,11,Seeker,62,1,Yes,No,"Firebolt, Marauder's Map, Invisibility Cloak",457,53,1
Cedric Brown,Hufflepuff,4,"9 inches, elm, veela hair core",Muggle Born,Poor,Exceeds Expectations,Acceptable,20,Beater,9,5,Yes,No,Invisibility Cloak,378,77,10
Blaise Brown,RAVENCLAW,2,"11 inches, holly, phoenix feather core",Dragon,Poor,Acceptable,Outstanding,21,Chaser,-85,2,No,,"Extendable Ears, Firebolt, Marauder's Map",117,40,6
,GRYFFINDOR,4,"9 inches, elm, veela hair core",Cat,Exceeds Expectations,Poor,Acceptable,13,,97,0,No,No,"Marauder's Map, Sneakoscope, Extendable Ears",319,70,2
Seamus Parkinson,Slytherin,6,"11 inches, holly, phoenix feather core",Owl,Acceptable,Outstanding,Exceeds Expectations,30,Kee?per,-89,5,Yes,Yes,Sneakoscope,345,55,0
Padma Longbottom,Hufflepuff,2,"11 inches, holly, phoenix feather core",,Acceptable,Poor,Outstanding,14,Seeker,-39,1,No,No,"Time-Turner, Marauder's Map",78,47,0
Katie Brown,Slytherin,4,"9 inches, elm, veela hair core",Owl,Poor,Exceeds Expectations,Acceptable,20,Keeper',-13,3,No,No,"Invisibility Cloak, Extendable Ears",268,53,6
Katie Longbottom,Ravenclaw,5,"12 inches, yew, unicorn hair core",,Exceeds Expectations,Exceeds Expectations,Exceeds Expectations,13,Seeker,182,2,No,Yes,"Invisibility Cloak, Marauder's Map",124,88,3
,Hufflepuff,1,"12 inches, yew, unicorn hair core",Dragon,Acceptable,Acceptable,Poor,9,Beater,192,4,Yes,No,"Firebolt, Invisibility Cloak, Marauder's Map",150,67,9
Luna Lovegood,Ravenclaw,4,"9 inches, elm, veela hair core",Muggle Born,Poor,Exceeds Expectations,Outstanding,26,,98,3,No,Yes,"Marauder's Map, Time-Turner",487,84,2
,HUFFLEPUFF,1,"9 inches, elm, veela hair core",Dragon,Poor,Outstanding,Outstanding,5,Chaser,-37,3,No,No,Extendable Ears,252,42,5
Cho Bell,Gryffindor,7,"12 inches, yew, unicorn hair core",Owl,Poor,Exceeds Expectations,Poor,6,Be#ater,136,5,No,No,"Marauder's Map, Invisibility Cloak, Sneakoscope",321,37,3
,Gryffindor,2,"11 inches, holly, phoenix feather core",Toad,Outstanding,Poor,Poor,19,,89,3,No,No,Invisibility Cloak,487,45,4
Ginny Potter,HUFFLEPUFF,6,"12 inches, yew, unicorn hair core",Muggle Born,Exceeds Expectations,Exceeds Expectations,Acceptable,12,Chaser,177,5,Yes,Yes,"Sneakoscope, Invisibility Cloak",401,58,1
Fred Boot,Ravenclaw,2,"10 inches, oak, dragon heartstring core",Owl,Outstanding,Outstanding,Exceeds Expectations,8,Chaser,27,4,No,No,"Invisibility Cloak, Marauder's Map, Time-Turner",221,62,8
Terry SIpinnet,GRYFFINDOR,6,"9 inches, elm, veela hair core",Dragon,Acceptable,Outstanding,Exceeds Expectations,28,Keeper,62,5,Yes,No,Marauder's Map,213,79,3
